...1,spotify_id,youtube_id,project_name,artist,project_type,tracks,year,rating,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,explicit
1107,4NQRw9HthpcLg4vYQ6yJFu,qy-tfRCoGGc,while (1 is less than 2),deadmau5,album,27,2014,7,0.3667615925925926,0.6387777777777778,0.47816148148148147,0.7450951481481481,0.16317407407407408,-12.288814814814815,0.06991851851851852,0.14314444444444444,119.6457037037037,0.07407407407407407
1108,2DPmATqwTbFTztBvwT5V4b,Rhxuyujfep8,neon icon,riff raff,album,15,2014,5,0.199464,0.6997333333333333,0.7398,0.046632900000000005,0.20735333333333333,-5.272866666666666,0.13452,0.4773133333333333,133.55313333333334,1
1109,2qCyMMQ785sPH4Yx25GQZ8,97v_pftI5yM,z ep/album,sza,album,10,2014,4,0.346336,0.5579000000000001,0.5588,0.07483543,0.16798,-8.4126,0.10512,0.27268,115.879,0.3
1110,2G4AUqfwxcV1UdQjm2ouYr,FihAfj0FALk,ghost stories,coldplay,album,9,2014,4,0.28512,0.5085555555555555,0.48133333333333334,0.39799666666666667,0.12331111111111111,-10.215777777777777,0.03217777777777778,0.21375555555555553,116.31366666666666,0
1111,7Et3bSTLLqdABO1qCxUplS,FPsrNDt81aM,oxymoron,schoolboy q,album,15,2014,7,0.13159733333333334,0.6832666666666667,0.7383333333333333,0.0023571126666666665,0.19672666666666666,-6.5716,0.21745333333333333,0.46886666666666665,119.4808,1
1112,0oLFi7uTxUNDKwYt9up6Gl,L8IsRJlOFzU,terrestrials,sunn o))) & ulver,album,3,2014,6,0.4,0.1114,0.333,0.8079999999999999,0.18233333333333335,-16.719,0.040766666666666666,0.03923333333333333,76.67033333333333,0
1113,5fd3DkPieKJsXiWTFWNBpX,LvI4plyRcrs,no more,shlohmo & jeremih,ep,1,2018,5,0.0956,0.828,0.353,0.00684,0.133,-7.071,0.12,0.321,150.039,1
1114,7K87ekpGtaugfu0ox6azt8,YXwUeKjG9gI,unknown memory,yung lean,album,13,2014,4,0.24091538461538461,0.558923076923077,0.5915384615384616,0.13930464846153848,0.20564615384615384,-9.20623076923077,0.12401538461538461,0.2255923076923077,123.42515384615385,0
1115,4MuH5XuLZFuDc6kB2CSapu,0ZA29cQNoQc,transgender dysphoria blues,against me!,album,10,2014,5,0.024571891999999998,0.395,0.9128000000000001,0.058033849,0.272,-3.893,0.07403,0.5058,147.78810000000001,0.1
1116,0wQpKLNavM2B8PZRMiO95X,u8_m_s9NhLk,so it goes,ratking,album,12,2014,8,0.023293499999999998,0.47475,0.9035,0.03446215833333333,0.43933333333333335,-3.384333333333333,0.243725,0.40205833333333335,142.12141666666668,0.8333333333333334
